Row,Body Weight,Heart Weight,EndoEpi,HR,MBP, dPLVdtmax,Average Flow, Max LV Pressure, Min LV Pressure,Flow Pulsatility,dPLVdtmin,LVEDP,Venous O2 Content,O2_Extration,Hyperemic Flow,CFR,Average Flow- HW Normalized,CCV value,CCV percent,MSE,Mode1,Mode2,Mode3,Mode4,Mode5,Row Type
OSS1195,41.5,180.7,0.640977443609023,46.6841299893664,127.967061641242,2908.11199999999,30.7981762184242,177.569842,13.847189,89.476942,-3338.943,27.3904263043478,6.6,0.604790419161677,NaN,NaN,0.170438163909376,15.3555555555556,0.0119476791935749,2.17158185718263,0.677617150305123,-0.838015583348163,0.559653195939635,0.415610879288273,-0.70914340476211,1
OSS1196,46,175,0.802325581395349,46.0216813254244,127.399152015494,3103.33200000001,27.5619388794232,174.54729,12.635476,80.996596,-3130.259,24.0948003913044,5.6,0.737089201877934,NaN,NaN,0.157496793596704,15.6888888888889,0.0120338174132406,2.10336535259149,0.853660220293251,-0.789141308107761,0.796737542292189,-0.00433263028817578,-1.177164260939,1
OSS1202,34.1,123,0.966926070038911,64.4652961822219,96.5913597681397,2436.88999999999,23.8766835136093,118.909458,6.900034,80.594243,-1157.86,11.25704728125,2.3,0.850649350649351,NaN,NaN,0.194119378159425,5.48444444444444,0.00589260559176754,2.78230721148704,0.996094406427912,-0.417175267891844,-0.189566848476407,0.103624456654643,-0.370478166528279,1
OSS1348,71.9,231,1.34418604651163,76.0167236792094,79.336857593201,2200.722,27.2508232375844,100.097993,0.595539,115.629025,-1871.32800000001,8.09773933333333,8.6,0.497076023391813,71.17,2.61166421944428,0.117968931764435,3.53999999999999,0.00448498669707335,4.29936087870039,0.783058653113085,-0.887160766800707,-0.462036606306837,2.10165376636116,0.0839281655940291,2
OSS1349,78.1,295,1.29471032745592,71.476789897947,128.412390010245,1217.307,61.0415013253255,145.929528,3.197507,91.252868,-1815.556,16.136017625,7.4,0.525641025641026,160.25,2.62526308365082,0.20692034347568,3.48222222222221,0.00414830110259565,1.72313808742261,-0.802078484069939,1.6241568474156,1.17800705224715,-0.569324867524031,0.149849841975898,2
OSS1350,75.4,220.1,0.957915831663327,64.7435436299547,94.0059272965254,1641.915,13.5928231038774,120.67498,13.231881,44.029043,-2391.19500000001,22.7235634,8.5,0.401408450704225,34.58,2.54398955505688,0.0617574879776348,1.33777777777777,0.00144354123204565,0.671070825499691,1.5226839091252,0.0360933868747728,-0.200640465342597,0.26755041870344,-0.355781144899284,2
OSS1415,69.7,206.9,NaN,103.57923811716,105.101000997698,2019.843,18.3399850159973,106.42512,-4.787432,54.187737,-1858.256,6.96805417142857,9.6,0.445086705202312,NaN,NaN,0.0886417835475943,3.93333333333333,0.00679019449879158,2.2242291039567,1.26584041316572,0.670152879562136,-0.0674381999543975,0.0511493025820445,-1.38285768826608,2
OSS1416,76.2,257.1,NaN,90.139716560669,208.428441461192,4161.203,77.4995985751626,177.220159,-5.872793,129.199475,-4200.46000000001,1.76524005555556,NaN,NaN,NaN,NaN,0.301437567386863,2.05777777777778,0.00309145842722887,2.96847571913027,-1.5775070385655,2.45977753595925,2.74399405834173,0.638894390432807,1.30326505882585,2
OSS1377,73.8,196.5,0.838196286472148,38.142866224492,149.022266925072,2774.69600000001,24.4419809804628,188.870411,-4.385954,42.676546,-3379.006,8.36915552631579,NaN,NaN,137.81,5.63825003014918,0.124386671656299,23.36,0.0148502892500689,1.73484621467164,1.04369299842045,-0.435876423333433,0.961355919020889,-0.739429325765058,-0.755205303622579,1
OSS1379,62,194.4,1.35,78.4484637175855,79.301608813693,2095.339,37.2334804480519,92.654562,-5.899025,106.76187,-1842.156,1.40606057692308,NaN,NaN,NaN,NaN,0.191530249218374,1.14444444444443,0.00149633180794653,2.0783492547727,0.25633759998091,0.466845423140178,-0.952610165178196,2.38965796788173,0.769878067701402,1
York1359,NaN,268.9,NaN,77.4593338497289,102.609838093468,2871.83,44.0231335253034,111.358382,-11.617232,93.873358,-3207.908,7.41349294871795,NaN,NaN,NaN,NaN,0.163715632299381,6.05333333333334,0.00781478612617265,3.1192511164656,-0.00101990892480143,-0.359010156898941,-0.195855933141348,0.116265750546366,0.678436655562528,5
York1337,NaN,NaN,NaN,125.418060200669,90.386959421544,1844.269,37.8541803596014,111.323813,-2.620282,95.599585,-2862.71599999999,0.865959433333333,NaN,NaN,104.74,2.76693350655084,NaN,0.519999999999997,0.00108695652173912,2.70180578026553,0.306683947160066,0.420218666010233,-0.419876638141843,-0.576877050171107,-0.321186552023905,4
YorkD1,NaN,NaN,NaN,115.949497552177,111.824030791549,3087.85,80.8656120595207,176.441699,3.62943,182.013262,-2932.28599999999,6.73018453846154,NaN,NaN,150.64,1.86284374981447,NaN,8.22666666666667,0.0158979644421541,7.38075432492242,-1.79060770731154,2.27908667108047,0.868017710403433,-1.69092696596979,-0.559346607745203,4
YorkD2,NaN,NaN,NaN,104.196816208394,87.2495041752143,2908.643,16.410852050301,109.266913,1.944857,61.373131,-2872.995,13.6233912948718,NaN,NaN,46.92,2.85908372436637,NaN,14.7222222222222,0.0255668113844669,1.86938351116594,1.32621017844372,0.682551184499137,-0.68885919327011,0.697989595516401,-1.40317796198746,4
YorkD4,NaN,NaN,NaN,107.739270964266,87.4830797544889,3762.467,22.5825080166986,115.884862,2.825029,76.792266,-3525.802,14.8132435961538,NaN,NaN,60.76,2.69057803300993,NaN,14.8,0.0265756868378524,2.81018533836534,0.998160168999948,0.885135407545758,-0.907219481994953,0.56586751946161,-2.04994466427694,4
YorkD5,NaN,NaN,NaN,83.8926174496644,123.521958769295,4086.979,39.8380565938665,135.347877,0.626728,59.21929,-4881.52699999999,8.8621824047619,NaN,NaN,82.45,2.06962906952379,NaN,2.93333333333333,0.00410141685309471,1.55959421417789,0.236653847867822,0.184311691344258,0.467598150361855,0.269948135802547,1.18163372938457,4
YorkD6,NaN,NaN,NaN,98.6031224322103,94.6513785149538,2716.409,37.5583761886503,108.870141,-7.474207,76.241435,-3148.421,9.86072483333333,NaN,NaN,104.53,2.78313416626323,NaN,2.16666666666667,0.00356066831005204,2.6499453741656,0.331729773327883,0.111988945095131,-0.0754087534452609,0.357716322193393,0.884055795124502,4
YorkD7,NaN,NaN,NaN,88.9328063241107,118.444945326877,6425.819,49.9266121378952,135.919822,-16.572665,88.303536,-5496.30099999999,0.462888753623188,NaN,NaN,NaN,NaN,NaN,6.91111111111111,0.0102437417654809,3.66251910019118,-0.292706020635262,0.26473338233428,0.0297846635125906,1.00050196259754,1.82079623500177,4
